YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,5,21,26.76,79.94,0,98.32,4.27
2011,6,5,22,26.29,82.81,0,98.31,3.96
2011,6,5,23,25.84,85.25,0,98.23,3.83
2011,6,6,0,25.43,87.25,0,98.15,3.73
2011,6,6,1,25.1,88.81,0,98.08,3.58
2011,6,6,2,24.83,90.19,0,98.04,3.29
2011,6,6,3,24.58,91.12,0,98.04,3.18
2011,6,6,4,24.37,91.88,0,98.07,3.25
2011,6,6,5,24.33,91.75,0,98.14,3.3
2011,6,6,6,26,81.75,0,98.23,3.39
2011,6,6,7,28.3,66,0,98.31,5.13
2011,6,6,8,30.74,50.81,0,98.34,6.13
2011,6,6,9,33.09,40.06,0.01,98.32,6.25
2011,6,6,10,35.01,33.94,0.01,98.27,6.01
2011,6,6,11,36.4,30.44,0.01,98.17,5.96
2011,6,6,12,37.01,28.81,0.01,98.06,6.35
2011,6,6,13,37.01,28.5,0.01,97.97,6.87
2011,6,6,14,36.37,29.56,0.01,97.92,7.56
2011,6,6,15,35.14,32.19,0.01,97.95,8.12
2011,6,6,16,33.41,37,0,98.02,8.24
2011,6,6,17,31.21,45.25,0,98.14,7.8
2011,6,6,18,29.1,55.38,0,98.24,7.03
2011,6,6,19,28.14,61.31,0,98.31,6.45
2011,6,6,20,27.38,66.06,0,98.35,5.88
2011,6,6,21,26.8,69.81,0,98.38,5.32
2011,6,6,22,26.26,73.12,0,98.37,4.62
2011,6,6,23,25.76,76.06,0,98.31,4.25
2011,6,7,0,25.3,78.25,0,98.24,4.11
2011,6,7,1,24.9,80.31,0,98.18,3.88
2011,6,7,2,24.54,82.62,0,98.14,3.36
2011,6,7,3,24.13,85.12,0,98.12,2.76
2011,6,7,4,23.76,86.62,0,98.15,2.5
2011,6,7,5,23.6,87.12,0,98.22,2.65
2011,6,7,6,25.39,76.06,0,98.29,2.8
2011,6,7,7,28.61,59.62,0,98.36,3.81
2011,6,7,8,31.61,47.62,0,98.39,3.86
2011,6,7,9,33.91,41,0,98.37,3.64
2011,6,7,10,35.69,36.75,0,98.3,3.75
2011,6,7,11,36.9,34.12,0,98.19,4.12
2011,6,7,12,37.48,32.81,0,98.07,4.54
2011,6,7,13,37.41,32.62,0,97.98,5.04
2011,6,7,14,36.92,33.06,0,97.93,5.67
2011,6,7,15,35.87,34.81,0,97.93,6.18
2011,6,7,16,34.43,37.62,0,97.99,6.42
2011,6,7,17,32.12,44.5,0,98.08,6.3
2011,6,7,18,29.26,56.44,0,98.2,5.96
2011,6,7,19,27.86,62.69,0,98.31,5.22
2011,6,7,20,26.75,68.69,0,98.39,4.43
2011,6,7,21,26.04,72.81,0,98.43,3.94
2011,6,7,22,25.53,75.69,0,98.43,3.9
2011,6,7,23,25.12,78.06,0,98.37,4.11
2011,6,8,0,24.83,80.06,0,98.29,4.26
2011,6,8,1,24.62,81.88,0,98.22,4.35
2011,6,8,2,24.49,83.62,0,98.18,4.15
2011,6,8,3,24.37,85.31,0,98.19,3.81
2011,6,8,4,24.27,86.75,0,98.23,3.42
2011,6,8,5,24.27,87.44,0,98.27,3
2011,6,8,6,25.51,80.56,0,98.34,2.46
2011,6,8,7,27.31,71.25,0,98.4,3.32
2011,6,8,8,29.48,58.38,0,98.42,3.85
2011,6,8,9,31.58,46.12,0,98.39,4.04
2011,6,8,10,33.48,38,0,98.32,4.11
2011,6,8,11,35.11,32.81,0,98.22,4.14
