iter	Logloss
0	0.6863241162
1	0.6797355715
2	0.6732197137
3	0.6668432232
4	0.6606924416
5	0.6544882472
6	0.6487374022
7	0.6430103873
8	0.6372605757
9	0.6316733431
10	0.6262356462
11	0.6206401153
12	0.6154904116
13	0.6101741983
14	0.6052508722
15	0.600167715
16	0.5953760892
17	0.5906086286
18	0.5861469467
19	0.5814407897
20	0.5772865572
21	0.572888784
22	0.5689851082
23	0.5647004548
24	0.5607390453
25	0.5566784373
26	0.5530108218
27	0.5492046634
28	0.5456114969
29	0.5422849737
30	0.5388955443
31	0.5356182337
32	0.53211273
33	0.5288043501
34	0.5255071187
35	0.5223614912
36	0.5191583243
37	0.5164180635
38	0.5134631871
39	0.5107571549
40	0.507811216
41	0.5050991622
42	0.5022802196
43	0.4995661356
44	0.4970024256
45	0.4945135714
46	0.4921337608
47	0.4898382984
48	0.487490224
49	0.4854165567
50	0.4832170961
51	0.4811181958
52	0.4788893258
53	0.4767871943
54	0.4747389683
55	0.4727643948
56	0.4708911474
57	0.4689754705
58	0.4670473831
59	0.4651242605
60	0.4632591554
61	0.4614931064
62	0.45988514
63	0.4581415674
64	0.4564082388
65	0.4547301642
66	0.453116916
67	0.4518608736
68	0.4503759956
69	0.4488565695
70	0.4473123028
71	0.4458670402
72	0.4445206169
73	0.443141088
74	0.4417562311
75	0.440440912
76	0.4391583506
77	0.4378227544
78	0.436666838
79	0.4354470942
80	0.4342244232
81	0.4331208787
82	0.4319530979
83	0.4309114497
84	0.429846522
85	0.428721732
86	0.4276195532
87	0.4265640458
88	0.4256640435
89	0.4246895351
90	0.4236730448
91	0.4227060944
92	0.421775956
93	0.4209887018
94	0.4201591521
95	0.4193398672
96	0.4184662639
97	0.4176659665
98	0.4169328493
99	0.4161637597
100	0.4153602862
101	0.4145773556
102	0.413892002
103	0.4131512437
104	0.4124099449
105	0.4116809892
106	0.4109263224
107	0.4102543629
108	0.4095797209
109	0.4089338182
110	0.4082859162
111	0.407698535
112	0.4071337143
113	0.4065526277
114	0.4059800105
115	0.4053839457
116	0.4048051334
117	0.4042258139
118	0.4037050596
119	0.4031357771
120	0.4026109164
121	0.4020909603
122	0.4015455563
